,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,MARST,BIRTHYR,DIVINYR,WIDINYR,RACE,RACED,BPL,BPLD,HCOVPRIV,HINSCAID,HINSCARE,EDUC,EDUCD,EMPSTAT,EMPSTATD,LABFORCE,WKSWORK2,UHRSWORK,INCTOT,INCWAGE
3036042,2021,202101,1345853,2021000473838,310.0,2021013458531,5930951,1,8,320.0,2,63,2,1958,1,1,4,400,500,50000,1,1,2,6,63,3,30,1,0,0,0,0
2807236,2021,202101,1252054,2021000529342,89.0,2021012520541,230448,1,2,87.0,1,63,1,1958,1,1,2,200,48,4800,1,1,2,6,63,1,10,2,6,24,28000,20000
1651539,2021,202101,726985,2021000486403,39.0,2021007269851,180028,1,1,38.0,2,21,1,2000,1,1,1,100,28,2800,2,1,1,6,65,1,10,2,3,45,24000,24000
1000763,2021,202101,434255,2021000070767,261.0,2021004342551,340917,1,1,261.0,1,69,1,1952,1,1,1,100,17,1700,2,1,2,5,50,3,30,1,0,0,5000,0
1719791,2021,202101,758244,2021001130559,36.0,2021007582441,180729,1,5,35.0,1,1,6,2020,0,0,1,100,29,2900,2,1,1,0,1,0,0,0,0,0,9999999,999999
1246691,2021,202101,543038,2021010068756,28.0,2021005430381,160021,3,1,28.0,2,34,3,1987,1,1,1,100,21,2100,1,1,1,10,101,3,30,1,0,0,0,0
1458748,2021,202101,640225,2021000870358,114.0,2021006402251,190225,1,1,114.0,2,47,1,1974,1,1,7,700,110,11000,1,2,1,8,81,3,30,1,0,0,80,0
2303109,2021,202101,1020555,2021000823818,109.0,2021010205551,410539,1,1,109.0,2,44,1,1977,1,1,9,963,6,600,2,1,1,7,71,3,30,1,0,0,0,0
3061173,2021,202101,1356429,2021000916345,59.0,2021013564291,5115451,1,1,59.0,1,81,1,1940,1,1,2,200,11,1100,2,1,2,11,114,3,30,1,0,0,23000,0
549895,2021,202101,228829,2021000060752,26.0,2021002288291,10008,1,1,26.0,2,72,5,1949,1,1,1,100,36,3600,1,2,2,2,26,3,30,1,0,0,16400,0
2734579,2021,202101,1223380,2021000114560,157.0,2021012233801,560048,1,4,124.0,2,9,6,2012,0,0,1,100,48,4800,2,1,1,1,17,0,0,0,0,0,9999999,999999
1231308,2021,202101,535890,2021000661799,76.0,2021005358901,10020,1,4,171.0,2,20,6,2001,0,0,1,100,20,2000,2,1,1,6,63,1,10,2,6,35,35000,35000
1263774,2021,202101,551082,2021000518852,95.0,2021005510821,240021,1,1,96.0,1,32,6,1989,0,0,1,100,21,2100,2,1,1,10,101,1,10,2,6,40,60000,60000
2144314,2021,202101,947653,2021000286687,72.0,2021009476531,270037,1,1,72.0,2,30,1,1991,1,1,1,100,37,3700,2,1,1,7,71,1,10,2,6,30,17000,17000
2468883,2021,202101,1097651,2021000358704,21.0,2021010976511,80342,1,3,30.0,1,29,6,1992,0,0,1,100,42,4200,2,1,1,8,81,1,10,2,6,40,40000,40000
1601017,2021,202101,704659,2021000378848,36.0,2021007046591,240027,1,2,42.0,1,47,1,1974,1,1,1,100,27,2700,2,1,1,6,63,1,10,2,6,60,96000,0
1568686,2021,202101,689624,2021001188305,217.0,2021006896241,320626,1,1,217.0,2,57,4,1964,1,1,1,100,39,3900,2,1,1,6,64,1,10,2,6,40,35000,35000
1079733,2021,202101,467410,2021000989615,154.0,2021004674101,340117,1,3,137.0,1,13,6,2008,0,0,1,100,26,2600,2,1,1,2,26,0,0,0,0,0,9999999,999999
473569,2021,202101,199088,2021001141571,159.0,2021001990881,850506,1,2,192.0,1,47,1,1974,1,1,7,700,200,20000,1,2,1,3,30,1,10,2,6,40,19200,0
